video_id,comment_id,author,text,sentiment,score,publishedAt,translated,sentiment_model,emotion,sarcasm
IHNzOHi8sJs,UgzVRhsh0gPGImYbxjp4AaABAg,@HbibDridi-b9l,Lisa😍😍😍❤❤❤❤,neutral,0.0,2025-08-25T15:58:21Z,Lisa. Lisa.,neutral,anger,LABEL_1
IHNzOHi8sJs,UgwDT25hJLSmSiF0qad4AaABAg,@RazaneBoukermouche,"<a href=""https://www.youtube.com/watch?v=IHNzOHi8sJs&amp;t=93"">1:33</a> . يا الاهي ما اسرعه",neutral,0.0,2025-08-25T15:03:04Z,"<a href=""https://www.youtube.com/watch?v=IHNzOHi8sJs&amp;t=93"">1:33</a> . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .",neutral,joy,LABEL_0
IHNzOHi8sJs,Ugzxdzx-bEkt3gGQT2B4AaABAg,@RazaneBoukermouche,"<a href=""https://www.youtube.com/watch?v=IHNzOHi8sJs&amp;t=27"">0:27</a> الفنك الجزائري😂😂❤❤❤❤",neutral,0.0,2025-08-25T15:01:33Z,"<a href=""https://www.youtube.com/watch?v=IHNzOHi8sJs&amp;t=27"">0:27</a> Funk Algeria",neutral,joy,LABEL_0
IHNzOHi8sJs,UgyobMPsvzfBvr6-F294AaABAg,@faellz211,"<a href=""https://www.youtube.com/watch?v=IHNzOHi8sJs&amp;t=136"">2:16</a>",neutral,0.0,2025-08-25T14:33:49Z,"<a href=""https://www.youtube.com/watch?v=IHNzOHi8sJs&amp;t=136"">2:16</a>",neutral,joy,LABEL_0
IHNzOHi8sJs,UgxtgGvbOfDQN3ptumh4AaABAg,@PyaePhyoMaung-l8q,🖤💗,neutral,0.0,2025-08-25T14:14:49Z,I'm sorry.,negative,sadness,LABEL_0
IHNzOHi8sJs,Ugz9aAgV3pz_KYpnoid4AaABAg,@Catw-hyunjin,Alt tarafı iki milyar izlendi ne abartınız,neutral,0.0,2025-08-25T14:14:46Z,The two billionths of the South have seen what you're up to.,neutral,joy,LABEL_0
IHNzOHi8sJs,UgzcLNogiubvFrTYk5h4AaABAg,@JUJURHIDUVSELAMANYAYA,R nama ku ?,neutral,0.0,2025-08-25T13:19:52Z,What's your name?,neutral,anger,LABEL_0
IHNzOHi8sJs,UgwZDZPxZJUGvqzRZdR4AaABAg,@T8T8T8-3,This is so nostalgic,neutral,0.0,2025-08-25T13:02:37Z,This is so nostalgic,negative,love,LABEL_0
IHNzOHi8sJs,Ugwe8olyd63JCwgzGJl4AaABAg,@JennyLecroq,Du &#39;Du&#39;Du dansé,neutral,0.0,2025-08-25T12:42:57Z,From &#39;From &#39; to dance,neutral,anger,LABEL_0
IHNzOHi8sJs,UgwwDSANX5acCfzfIqN4AaABAg,@VasifSüleymanov-b1e,Blacpink Lisa Rose Jennie Jisoo ❤❤❤🎉🎉🎉,neutral,0.0,2025-08-25T12:37:36Z,Blackpink Lisa Rose Jennie Jisoo . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,neutral,joy,LABEL_0
